ectoderm            mesoderm            endoderm            
0.000000            0.480000            0.000000            
0.200000            0.000000            0.000000            
0.800000            0.000000            0.440000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.500000            
0.000000            1.000000            0.800000            
0.000000            0.000000            0.100000            
0.080000            0.000000            0.000000            
0.000000            0.000000            0.500000            
0.000000            0.560000            0.020000            
0.000000            0.000000            0.066667            
0.320000            0.000000            0.000000            
0.600000            0.440000            0.000000            
0.000000            0.000000            0.160000            
0.000000            0.000000            0.400000            
0.200000            0.880000            0.000000            
1.000000            0.800000            0.000000            
0.000000            0.240000            0.000000            
0.000000            0.000000            0.020000            
0.000000            0.080000            0.000000            
0.400000            0.000000            0.500000            
0.000000            0.800000            0.000000            
0.000000            0.320000            0.000000            
0.400000            0.480000            0.000000            
0.000000            0.000000            0.320000            
0.000000            0.400000            1.000000            
0.000000            0.000000            0.333333            
0.000000            0.000000            0.106667            
0.000000            0.200000            0.000000            
0.800000            0.000000            1.000000            
0.800000            0.000000            0.000000            
0.000000            0.680000            0.133333            
0.000000            0.680000            0.180000            
0.000000            0.000000            1.000000            
0.000000            0.080000            0.000000            
0.333333            1.000000            0.000000            
0.000000            0.000000            0.760000            
0.000000            0.000000            0.080000            
0.066667            0.000000            0.000000            
0.800000            0.000000            0.000000            
0.840000            0.680000            1.000000            
0.000000            0.160000            0.000000            
0.320000            0.466667            0.000000            
0.533333            0.840000            0.000000            
0.000000            0.600000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.066667            
0.000000            0.000000            0.280000            
0.000000            0.600000            1.000000            
0.000000            0.000000            0.200000            
0.200000            0.000000            0.800000            
0.080000            0.000000            0.000000            
0.000000            0.400000            0.800000            
0.000000            0.000000            0.600000            
0.400000            0.000000            0.680000            
0.000000            0.200000            0.000000            
0.440000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.640000            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.000000            0.240000            0.000000            
0.000000            0.680000            0.240000            
0.000000            0.000000            0.480000            
0.000000            0.000000            1.000000            
0.080000            0.000000            0.960000            
0.400000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.200000            0.166667            
1.000000            0.000000            0.000000            
0.000000            0.600000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.133333            0.000000            
0.560000            0.000000            0.000000            
0.720000            0.600000            0.000000            
0.000000            0.000000            0.400000            
0.200000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.000000            1.000000            0.000000            
0.960000            0.000000            0.000000            
0.800000            0.280000            0.000000            
0.400000            0.400000            0.000000            
1.000000            0.000000            0.166667            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.280000            
0.000000            0.400000            0.000000            
0.000000            0.280000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.400000            
0.600000            0.240000            0.120000            
0.000000            0.000000            0.240000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.106667            
0.000000            0.000000            0.280000            
0.000000            0.000000            0.240000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.400000            
0.400000            0.033333            0.133333            
0.106667            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.200000            0.000000            0.200000            
1.000000            0.000000            0.000000            
0.766667            0.506667            0.000000            
0.000000            0.000000            0.026667            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.020000            
0.000000            0.000000            0.180000            
1.000000            0.000000            0.000000            
0.240000            0.000000            0.000000            
0.560000            0.200000            0.000000            
0.840000            0.200000            0.000000            
0.400000            0.520000            0.000000            
1.000000            0.800000            0.000000            
0.160000            0.000000            0.000000            
0.000000            0.920000            0.566667            
0.000000            0.000000            0.200000            
0.320000            0.000000            0.000000            
1.000000            0.200000            0.000000            
0.000000            0.000000            0.640000            
0.000000            0.066667            0.026667            
0.000000            0.000000            1.000000            
0.000000            0.080000            0.000000            
0.333333            0.000000            0.600000            
0.000000            0.160000            0.000000            
1.000000            0.000000            0.400000            
0.000000            0.040000            0.000000            
0.000000            0.280000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.000000            0.200000            
0.000000            0.400000            0.013333            
0.000000            0.320000            0.000000            
0.400000            0.000000            0.000000            
0.000000            0.600000            0.520000            
0.000000            0.000000            0.020000            
0.200000            0.426667            0.000000            
0.000000            0.040000            0.000000            
0.160000            0.000000            0.000000            
0.080000            0.000000            0.000000            
0.000000            0.000000            0.440000            
0.000000            0.053333            0.440000            
0.000000            0.000000            0.200000            
0.200000            0.000000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.100000            
0.500000            0.000000            0.000000            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.266667            
0.266667            0.000000            0.000000            
0.000000            0.133333            0.800000            
0.000000            0.000000            0.400000            
0.800000            0.960000            0.000000            
0.000000            0.000000            0.400000            
1.000000            0.000000            0.000000            
0.000000            0.080000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.200000            0.000000            
0.600000            0.000000            0.000000            
0.640000            0.440000            0.000000            
0.000000            0.800000            0.000000            
0.000000            0.300000            0.000000            
0.600000            0.600000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.200000            
0.013333            0.960000            0.240000            
0.000000            0.520000            0.000000            
0.400000            0.760000            0.066667            
0.000000            0.160000            0.106667            
0.000000            0.080000            0.000000            
0.000000            0.320000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.040000            0.000000            
1.000000            0.000000            0.366667            
0.000000            0.800000            1.000000            
0.000000            0.600000            1.000000            
0.100000            0.000000            0.080000            
0.000000            0.000000            0.080000            
0.000000            0.840000            0.000000            
1.000000            1.000000            0.160000            
0.080000            0.200000            0.280000            
0.500000            0.000000            0.000000            
0.000000            0.000000            0.400000            
1.000000            0.000000            0.000000            
0.000000            0.280000            0.000000            
0.000000            0.200000            0.133333            
0.560000            0.480000            0.000000            
0.000000            0.000000            0.240000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.800000            
0.000000            0.240000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.080000            0.000000            
0.000000            0.240000            0.000000            
0.000000            0.240000            0.000000            
0.053333            0.000000            0.000000            
0.000000            0.000000            0.066667            
0.000000            0.400000            0.000000            
1.000000            1.000000            1.000000            
0.000000            0.200000            0.000000            
0.000000            0.333333            0.000000            
0.000000            0.520000            0.000000            
1.000000            0.000000            0.000000            
0.800000            0.000000            0.320000            
0.000000            0.040000            0.000000            
1.000000            0.000000            0.400000            
0.000000            0.000000            0.026667            
0.500000            0.360000            0.000000            
0.000000            0.000000            0.400000            
0.000000            0.000000            0.133333            
1.000000            0.800000            0.000000            
0.400000            0.000000            0.420000            
0.000000            0.400000            0.000000            
0.000000            1.000000            0.440000            
0.600000            0.360000            0.100000            
0.000000            0.000000            0.080000            
0.053333            0.000000            0.000000            
0.000000            0.000000            0.300000            
0.800000            0.133333            0.000000            
1.000000            0.000000            0.840000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.453333            
0.600000            0.440000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.020000            
0.640000            0.000000            0.920000            
0.800000            0.560000            1.000000            
0.000000            0.560000            0.080000            
1.000000            0.000000            0.800000            
0.600000            0.600000            0.000000            
0.160000            0.000000            0.000000            
0.000000            0.000000            0.920000            
0.000000            0.000000            0.200000            
0.000000            0.120000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.240000            0.000000            
0.000000            0.000000            0.640000            
0.560000            0.920000            0.000000            
0.200000            0.160000            0.000000            
0.000000            0.080000            0.000000            
0.000000            0.000000            0.280000            
0.000000            0.000000            0.240000            
0.000000            0.666667            0.000000            
0.080000            0.000000            0.000000            
0.400000            0.000000            0.000000            
1.000000            0.000000            0.666667            
0.000000            0.000000            0.200000            
0.800000            0.000000            0.000000            
0.293333            0.000000            0.000000            
0.000000            0.000000            0.060000            
0.000000            0.000000            0.666667            
0.800000            0.200000            0.000000            
0.600000            0.000000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.240000            
0.400000            0.000000            0.000000            
0.000000            0.080000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.280000            
0.000000            0.400000            0.000000            
0.000000            0.360000            0.133333            
0.000000            0.320000            0.000000            
0.800000            0.000000            0.000000            
0.000000            0.320000            0.000000            
0.000000            0.000000            0.800000            
0.760000            0.000000            0.600000            
0.000000            0.000000            0.120000            
0.600000            0.000000            0.000000            
0.000000            0.066667            0.000000            
0.000000            0.960000            0.960000            
0.000000            0.533333            0.000000            
0.000000            0.000000            0.320000            
0.000000            0.000000            0.120000            
0.400000            0.400000            0.680000            
0.000000            0.120000            0.080000            
0.000000            0.400000            0.000000            
0.000000            0.066667            0.000000            
0.000000            0.600000            0.200000            
0.400000            0.000000            0.000000            
0.000000            0.000000            0.800000            
0.000000            0.000000            0.160000            
0.200000            0.200000            0.400000            
0.800000            0.000000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.266667            0.000000            
0.160000            0.000000            0.000000            
0.160000            0.000000            0.000000            
0.320000            0.520000            0.600000            
0.586667            0.000000            0.000000            
0.200000            0.200000            0.000000            
0.600000            0.000000            0.000000            
0.800000            0.800000            0.760000            
0.380000            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.166667            0.000000            0.000000            
0.000000            0.000000            0.160000            
1.000000            0.600000            0.000000            
1.000000            0.560000            1.000000            
0.600000            0.080000            0.000000            
0.000000            0.320000            0.133333            
0.306667            0.320000            0.000000            
0.000000            0.200000            0.000000            
0.000000            0.000000            1.000000            
0.200000            0.200000            0.000000            
0.000000            0.400000            1.000000            
0.000000            0.000000            0.400000            
0.600000            1.000000            0.000000            
0.133333            0.000000            0.000000            
0.160000            0.000000            0.000000            
1.000000            1.000000            0.800000            
0.300000            0.000000            0.300000            
0.000000            0.000000            0.020000            
0.000000            1.000000            0.000000            
0.000000            0.680000            0.000000            
0.000000            0.000000            0.033333            
0.840000            1.000000            0.000000            
0.000000            0.000000            0.600000            
0.013333            0.000000            0.000000            
0.480000            0.000000            0.100000            
0.000000            0.000000            0.160000            
0.266667            0.000000            0.000000            
0.346667            0.000000            0.120000            
1.000000            0.000000            0.080000            
0.000000            0.000000            0.600000            
0.400000            0.800000            0.000000            
0.160000            0.000000            0.080000            
0.000000            0.000000            0.120000            
0.800000            0.000000            1.000000            
0.000000            0.000000            1.000000            
0.000000            0.000000            0.080000            
0.053333            0.000000            0.000000            
0.053333            0.000000            0.000000            
0.000000            0.000000            0.320000            
0.000000            0.000000            0.160000            
0.000000            0.000000            0.400000            
1.000000            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.560000            0.000000            0.000000            
1.000000            0.800000            0.800000            
0.533333            0.000000            0.000000            
0.000000            0.300000            0.000000            
0.000000            0.120000            0.060000            
0.800000            0.400000            0.000000            
0.000000            0.480000            1.000000            
0.000000            0.400000            0.000000            
0.000000            0.000000            0.920000            
0.000000            0.000000            0.480000            
0.000000            0.233333            0.000000            
0.000000            0.000000            0.020000            
1.000000            1.000000            1.000000            
0.240000            0.120000            0.040000            
0.060000            0.000000            0.000000            
0.800000            0.000000            0.000000            
0.600000            0.520000            0.000000            
0.000000            0.600000            0.240000            
0.133333            0.200000            0.000000            
1.000000            0.320000            0.000000            
0.000000            1.000000            0.000000            
0.000000            0.000000            0.240000            
0.500000            0.000000            0.000000            
0.480000            0.000000            0.000000            
0.600000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.186667            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.800000            
0.000000            0.000000            0.100000            
0.000000            0.200000            0.000000            
0.000000            0.200000            0.520000            
0.200000            0.000000            0.000000            
0.400000            0.200000            0.000000            
0.200000            0.000000            0.000000            
0.160000            0.000000            0.000000            
0.400000            0.000000            0.000000            
0.066667            0.000000            0.000000            
0.000000            0.000000            1.000000            
0.800000            0.266667            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.100000            0.000000            
0.400000            0.000000            0.160000            
1.000000            0.000000            0.000000            
0.000000            0.240000            0.920000            
0.320000            0.000000            0.000000            
0.000000            0.800000            0.000000            
0.680000            0.000000            0.240000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.400000            
0.000000            1.000000            0.000000            
0.000000            0.000000            1.000000            
0.000000            0.200000            1.000000            
0.000000            0.000000            1.000000            
0.640000            0.000000            0.000000            
0.000000            0.000000            0.040000            
0.000000            0.266667            0.000000            
0.000000            0.000000            0.133333            
0.000000            0.180000            0.000000            
0.266667            0.166667            0.000000            
0.000000            1.000000            0.000000            
0.000000            1.000000            0.000000            
0.600000            0.000000            0.000000            
0.000000            0.000000            0.240000            
1.000000            0.400000            0.000000            
0.160000            0.000000            0.000000            
0.000000            0.000000            0.320000            
0.800000            0.000000            0.000000            
0.000000            0.000000            0.100000            
0.000000            0.120000            0.000000            
0.000000            0.000000            0.080000            
0.266667            0.000000            0.066667            
0.800000            0.000000            0.000000            
0.800000            1.000000            0.320000            
0.200000            0.200000            0.000000            
0.133333            0.200000            0.000000            
0.000000            0.000000            0.400000            
1.000000            0.000000            0.400000            
0.000000            0.000000            0.200000            
0.000000            0.040000            0.000000            
0.000000            0.000000            0.480000            
0.000000            0.000000            0.800000            
1.000000            0.000000            0.000000            
0.000000            0.266667            0.000000            
0.400000            0.320000            0.560000            
0.800000            0.213333            0.180000            
0.000000            0.000000            0.240000            
0.000000            0.000000            0.400000            
0.680000            0.360000            0.000000            
0.000000            0.000000            0.200000            
0.200000            0.000000            0.000000            
0.600000            0.000000            0.000000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.053333            
0.000000            0.000000            0.600000            
0.000000            0.000000            0.800000            
0.500000            0.000000            0.000000            
0.160000            0.400000            0.320000            
0.000000            0.000000            0.200000            
0.200000            0.000000            0.000000            
0.920000            0.680000            0.000000            
0.600000            0.000000            0.000000            
0.800000            0.800000            0.160000            
0.080000            0.000000            0.000000            
0.920000            0.000000            0.000000            
0.320000            0.000000            0.000000            
0.000000            0.800000            0.000000            
0.000000            0.000000            0.240000            
0.000000            0.120000            0.000000            
0.000000            0.320000            0.000000            
0.800000            0.000000            0.000000            
0.053333            0.000000            0.000000            
0.000000            0.000000            0.440000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.400000            
0.000000            1.000000            0.000000            
0.920000            0.840000            0.000000            
0.000000            0.160000            0.000000            
0.000000            0.000000            0.500000            
0.600000            0.480000            0.600000            
0.000000            0.000000            1.000000            
0.066667            0.000000            0.000000            
0.000000            0.000000            0.200000            
0.320000            0.000000            0.000000            
0.000000            0.800000            1.000000            
0.000000            0.000000            0.200000            
1.000000            0.000000            0.360000            
0.266667            0.000000            0.000000            
0.000000            0.000000            0.080000            
0.160000            0.000000            0.000000            
0.800000            1.000000            0.000000            
0.000000            0.000000            1.000000            
0.120000            0.000000            0.000000            
0.400000            0.000000            0.320000            
1.000000            0.000000            0.000000            
0.800000            0.333333            0.000000            
0.000000            0.000000            0.040000            
1.000000            0.000000            1.000000            
0.000000            0.240000            0.000000            
0.000000            0.000000            0.080000            
0.000000            0.000000            0.080000            
0.000000            0.680000            0.000000            
0.400000            0.433333            0.000000            
0.800000            0.800000            0.000000            
0.360000            0.400000            0.200000            
0.133333            0.133333            0.100000            
0.000000            0.000000            0.066667            
0.200000            0.266667            0.200000            
0.300000            0.000000            0.000000            
0.100000            0.133333            0.100000            
0.000000            0.333333            0.000000            
0.480000            0.400000            0.000000            
0.480000            0.400000            0.000000            
0.240000            0.000000            0.026667            
0.000000            0.080000            0.160000            
0.000000            0.000000            0.120000            
0.000000            0.000000            0.080000            
0.000000            0.160000            0.000000            
0.000000            0.080000            0.000000            
0.000000            0.500000            0.000000            
0.400000            0.000000            0.000000            
0.160000            0.200000            0.000000            
0.200000            0.000000            0.000000            
0.000000            0.000000            0.120000            
0.000000            0.000000            0.346667            
0.000000            0.053333            0.000000            
1.000000            1.000000            0.000000            
0.000000            0.100000            0.000000            
0.000000            0.000000            0.133333            
0.000000            0.000000            0.080000            
0.320000            0.000000            0.000000            
0.000000            0.000000            0.080000            
0.240000            0.000000            0.000000            
0.240000            0.000000            0.000000            
0.240000            0.000000            0.000000            
0.000000            0.000000            0.080000            
0.400000            0.000000            0.000000            
0.320000            0.000000            0.000000            
0.640000            0.000000            0.000000            
0.480000            0.000000            0.000000            
0.680000            0.120000            0.000000            
0.600000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.000000            0.200000            0.000000            
0.600000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.600000            0.000000            0.000000            
0.600000            0.400000            0.000000            
1.000000            0.600000            0.000000            
0.000000            0.160000            0.360000            
0.000000            0.040000            0.000000            
0.360000            0.060000            0.000000            
0.000000            0.000000            0.066667            
0.200000            0.300000            0.333333            
0.000000            0.106667            0.000000            
0.000000            0.600000            0.000000            
0.000000            0.240000            0.000000            
0.000000            0.680000            0.240000            
1.000000            1.000000            0.560000            
0.000000            0.000000            0.160000            
0.000000            0.000000            0.333333            
0.000000            0.280000            0.000000            
0.920000            1.000000            0.000000            
1.000000            0.520000            0.000000            
0.000000            0.000000            0.200000            
0.000000            0.000000            0.240000            
0.240000            0.000000            0.000000            
1.000000            1.000000            0.480000            
0.320000            0.000000            0.000000            
0.333333            0.000000            0.000000            
0.000000            1.000000            0.000000            
0.000000            0.200000            0.000000            
0.400000            0.640000            0.000000            
0.133333            0.200000            0.000000            
0.000000            0.280000            0.920000            
1.000000            0.000000            0.000000            
0.000000            0.000000            0.100000            
0.520000            0.920000            1.000000            
0.026667            0.000000            0.000000            
0.800000            0.600000            0.000000            
0.800000            0.400000            0.040000            
0.320000            0.400000            0.000000            
0.000000            0.000000            0.166667            
0.000000            0.000000            0.200000            
1.000000            0.000000            0.000000            
0.000000            0.480000            0.000000            
0.000000            0.200000            0.800000            
